threshold,accuracy,balanced_accuracy,precision,recall,f1,macro_f1,precision_class_0,recall_class_0,f1_class_0
0.26000000000000006,0.9364161849710982,0.734472049689441,0.9629629629629629,0.968944099378882,0.9659442724458205,0.7438417014403016,0.5454545454545454,0.5,0.5217391304347826
0.27,0.9364161849710982,0.734472049689441,0.9629629629629629,0.968944099378882,0.9659442724458205,0.7438417014403016,0.5454545454545454,0.5,0.5217391304347826
0.28,0.930635838150289,0.769927536231884,0.9685534591194969,0.9565217391304348,0.9625,0.7504807692307692,0.5,0.5833333333333334,0.5384615384615384
0.29000000000000004,0.930635838150289,0.769927536231884,0.9685534591194969,0.9565217391304348,0.9625,0.7504807692307692,0.5,0.5833333333333334,0.5384615384615384
0.30000000000000004,0.930635838150289,0.769927536231884,0.9685534591194969,0.9565217391304348,0.9625,0.7504807692307692,0.5,0.5833333333333334,0.5384615384615384
0.31000000000000005,0.9364161849710982,0.8115942028985508,0.9746835443037974,0.9565217391304348,0.9655172413793104,0.7790549169859515,0.5333333333333333,0.6666666666666666,0.5925925925925926
0.32000000000000006,0.9364161849710982,0.8115942028985508,0.9746835443037974,0.9565217391304348,0.9655172413793104,0.7790549169859515,0.5333333333333333,0.6666666666666666,0.5925925925925926
0.33,0.9364161849710982,0.8115942028985508,0.9746835443037974,0.9565217391304348,0.9655172413793104,0.7790549169859515,0.5333333333333333,0.6666666666666666,0.5925925925925926
0.34,0.9364161849710982,0.8115942028985508,0.9746835443037974,0.9565217391304348,0.9655172413793104,0.7790549169859515,0.5333333333333333,0.6666666666666666,0.5925925925925926
0.35000000000000003,0.9364161849710982,0.8115942028985508,0.9746835443037974,0.9565217391304348,0.9655172413793104,0.7790549169859515,0.5333333333333333,0.6666666666666666,0.5925925925925926
0.36000000000000004,0.930635838150289,0.8084886128364389,0.9745222929936306,0.9503105590062112,0.9622641509433962,0.7668463611859838,0.5,0.6666666666666666,0.5714285714285714
0.37000000000000005,0.930635838150289,0.8084886128364389,0.9745222929936306,0.9503105590062112,0.9622641509433962,0.7668463611859838,0.5,0.6666666666666666,0.5714285714285714
0.38000000000000006,0.9248554913294798,0.805383022774327,0.9743589743589743,0.9440993788819876,0.9589905362776026,0.7553573371043185,0.47058823529411764,0.6666666666666666,0.5517241379310345
0.39000000000000007,0.9190751445086706,0.8022774327122153,0.9741935483870968,0.937888198757764,0.9556962025316456,0.7445147679324895,0.4444444444444444,0.6666666666666666,0.5333333333333333
0.4000000000000001,0.9017341040462428,0.7929606625258798,0.9736842105263158,0.9192546583850931,0.9456869009584664,0.7152676929034756,0.38095238095238093,0.6666666666666666,0.48484848484848486
0.4100000000000001,0.8959537572254336,0.7898550724637681,0.9735099337748344,0.9130434782608695,0.9423076923076923,0.7064479638009049,0.36363636363636365,0.6666666666666666,0.47058823529411764
0.42000000000000004,0.8959537572254336,0.7898550724637681,0.9735099337748344,0.9130434782608695,0.9423076923076923,0.7064479638009049,0.36363636363636365,0.6666666666666666,0.47058823529411764
0.43000000000000005,0.8901734104046243,0.7867494824016563,0.9733333333333334,0.906832298136646,0.9389067524115756,0.6980248047772164,0.34782608695652173,0.6666666666666666,0.45714285714285713
0.44000000000000006,0.884393063583815,0.7836438923395446,0.9731543624161074,0.9006211180124224,0.9354838709677419,0.6899641577060931,0.3333333333333333,0.6666666666666666,0.4444444444444444
0.45000000000000007,0.884393063583815,0.7836438923395446,0.9731543624161074,0.9006211180124224,0.9354838709677419,0.6899641577060931,0.3333333333333333,0.6666666666666666,0.4444444444444444
0.4600000000000001,0.884393063583815,0.7836438923395446,0.9731543624161074,0.9006211180124224,0.9354838709677419,0.6899641577060931,0.3333333333333333,0.6666666666666666,0.4444444444444444
0.4700000000000001,0.8728323699421965,0.7774327122153208,0.9727891156462585,0.8881987577639752,0.9285714285714286,0.674812030075188,0.3076923076923077,0.6666666666666666,0.42105263157894735
0.4800000000000001,0.8728323699421965,0.7774327122153208,0.9727891156462585,0.8881987577639752,0.9285714285714286,0.674812030075188,0.3076923076923077,0.6666666666666666,0.42105263157894735
0.49000000000000005,0.8728323699421965,0.7774327122153208,0.9727891156462585,0.8881987577639752,0.9285714285714286,0.674812030075188,0.3076923076923077,0.6666666666666666,0.42105263157894735
0.5000000000000001,0.8670520231213873,0.7743271221532091,0.9726027397260274,0.8819875776397516,0.9250814332247557,0.6676689217405829,0.2962962962962963,0.6666666666666666,0.41025641025641024
0.5100000000000001,0.8554913294797688,0.7681159420289855,0.9722222222222222,0.8695652173913043,0.9180327868852459,0.6541383446621352,0.27586206896551724,0.6666666666666666,0.3902439024390244
0.5200000000000001,0.8554913294797688,0.7681159420289855,0.9722222222222222,0.8695652173913043,0.9180327868852459,0.6541383446621352,0.27586206896551724,0.6666666666666666,0.3902439024390244
0.5300000000000001,0.8554913294797688,0.7681159420289855,0.9722222222222222,0.8695652173913043,0.9180327868852459,0.6541383446621352,0.27586206896551724,0.6666666666666666,0.3902439024390244
0.5400000000000001,0.8497109826589595,0.7650103519668736,0.972027972027972,0.8633540372670807,0.9144736842105263,0.6477130325814536,0.26666666666666666,0.6666666666666666,0.38095238095238093
0.5500000000000002,0.8439306358381503,0.7619047619047619,0.971830985915493,0.8571428571428571,0.9108910891089109,0.6414920561823625,0.25806451612903225,0.6666666666666666,0.37209302325581395
0.5600000000000002,0.838150289017341,0.7587991718426501,0.9716312056737588,0.8509316770186336,0.9072847682119205,0.6354605659241421,0.25,0.6666666666666666,0.36363636363636365
0.5700000000000002,0.8323699421965318,0.7556935817805384,0.9714285714285714,0.84472049689441,0.9036544850498339,0.6296050203026947,0.24242424242424243,0.6666666666666666,0.35555555555555557
